"","chain","amount_staked_nodes","amount_staked_apps","aligned_height","date","all_relays"
"158","0044",17242,11,56816,"2022-04-18 00:34:42.013",222939
"159","0047",7705,4,56816,"2022-04-18 00:34:42.013",9026
"160","0048",4351,3,56816,"2022-04-18 00:34:42.013",12546
"161","03DF",28368,11,56816,"2022-04-18 00:34:42.013",369387
"162","0001",31955,127,56820,"2022-04-18 01:32:38.729",48034
"163","0003",37997,103,56820,"2022-04-18 01:32:38.729",139324
"164","0004",20831,149,56820,"2022-04-18 01:32:38.729",19593
"165","0005",42313,69,56820,"2022-04-18 01:32:38.729",2620545
"166","0006",6243,55,56820,"2022-04-18 01:32:38.729",23330
"167","0009",40970,193,56820,"2022-04-18 01:32:38.729",13733563
"168","000A",5126,4,56820,"2022-04-18 01:32:38.729",8995
"169","000B",2134,14,56820,"2022-04-18 01:32:38.729",17327
"170","000C",4879,14,56820,"2022-04-18 01:32:38.729",18055
"171","0010",3542,14,56820,"2022-04-18 01:32:38.729",83
"172","0021",42990,673,56820,"2022-04-18 01:32:38.729",4109694
"173","0022",23864,72,56820,"2022-04-18 01:32:38.729",205528
"174","0023",13520,83,56820,"2022-04-18 01:32:38.729",7149
"175","0024",19730,72,56820,"2022-04-18 01:32:38.729",2994
"176","0025",29412,159,56820,"2022-04-18 01:32:38.729",12557
"177","0026",35639,106,56820,"2022-04-18 01:32:38.729",45183
"178","0027",42146,234,56820,"2022-04-18 01:32:38.729",6736965
"179","0028",24453,64,56820,"2022-04-18 01:32:38.729",62837
"180","0040",42800,223,56820,"2022-04-18 01:32:38.729",9872110
"181","0044",17242,11,56820,"2022-04-18 01:32:38.729",246849
"182","0047",7705,4,56820,"2022-04-18 01:32:38.729",6074
"183","0048",4351,3,56820,"2022-04-18 01:32:38.729",6464
"184","03DF",28368,11,56820,"2022-04-18 01:32:38.729",401539
"185","0001",31956,127,56824,"2022-04-18 02:33:36.022",28249
"186","0003",38005,103,56824,"2022-04-18 02:33:36.022",112673
"187","0004",20831,149,56824,"2022-04-18 02:33:36.022",13424
"188","0005",42314,69,56824,"2022-04-18 02:33:36.022",1891000
"189","0006",6243,55,56824,"2022-04-18 02:33:36.022",21132
"190","0009",40971,193,56824,"2022-04-18 02:33:36.022",13102810
"191","000A",5126,4,56824,"2022-04-18 02:33:36.022",5887
"192","000B",2134,14,56824,"2022-04-18 02:33:36.022",8438
